# of Pages,Page Size,# of CPU,Sorting Method,Total Execution Time(Mili),Average wait time(Mili)
4-16-1-1,3057,34
4-16-1-2,3101,33
4-16-1-3,3045,37
4-16-2-1,2955,2
4-16-2-2,2913,0
4-16-2-3,2925,0
4-16-4-1,2945,0
4-16-4-2,2916,0
4-16-4-3,2930,1
4-32-1-1,3058,1969
4-32-1-2,3049,1964
4-32-1-3,3025,1948
4-32-2-1,1521,68
4-32-2-2,1540,67
4-32-2-3,1518,67
4-32-4-1,1513,1
4-32-4-2,1513,1
4-32-4-3,1510,1
8-16-1-1,3051,1964
8-16-1-2,3038,1956
8-16-1-3,3037,1954
8-16-2-1,1512,67
8-16-2-2,1517,67
8-16-2-3,1526,68
8-16-4-1,1515,1
8-16-4-2,1509,1
8-16-4-3,1512,1
8-32-1-1,3024,5365
8-32-1-2,3060,5448
8-32-1-3,3040,5392
8-32-2-1,1516,1880
8-32-2-2,1532,1906
8-32-2-3,1536,1916
8-32-4-1,814,134
8-32-4-2,813,135
8-32-4-3,822,134
16-16-1-1,3009,5346
16-16-1-2,3013,5353
16-16-1-3,3032,5375
16-16-2-1,1513,1881
16-16-2-2,1525,1893
16-16-2-3,1522,1893
16-16-4-1,824,137
16-16-4-2,812,134
16-16-4-3,813,134
16-32-1-1,3010,10554
16-32-1-2,3056,10728
16-32-1-3,3043,10659
16-32-2-1,1510,4698
16-32-2-2,1527,4749
16-32-2-3,1509,4677
16-32-4-1,814,1762
16-32-4-2,823,1777
16-32-4-3,815,1765
