System Paramiters
# of Pages,Page Size,# of CPU,Sorting Method
64,64,4,3
Terminate Queue Size: 30
Total IO count: 82
Total time elapsed: 900 milliseconds
Average job time: 30 milliseconds
Job #,Job Time (Nanoseconds)
4,31303443
7,44943479
8,44140772
14,55003620
16,11440182
21,27630320
26,17843878
30,21986994
1,11536404
11,15377168
23,11649732
25,16821356
27,15473817
3,2707908
6,9906613
9,12943814
13,6849312
15,5149386
18,11092071
20,9120584
24,5972621
29,9853584
2,11730131
5,12908319
10,4427078
12,4215389
17,10424930
19,11667694
22,8187871
28,5160505
Job #,Wait Time (NanoSeconds)
4,1285101
7,1346684
8,1463860
14,1458302
16,114425338
21,115934102
26,116441300
30,116500744
1,216790822
11,216704863
23,216574429
25,216624892
27,316470209
3,316965861
6,317001784
9,317003494
13,417744320
15,417987228
18,418038118
20,418193785
24,517708953
29,517868040
2,518378660
5,518506101
10,618000314
12,618149565
17,618209437
19,618575509
22,718837362
28,718912201
